variant,D,timestep,full_radius,subspace_radius,ratio,direction_metric,identity_code,notes
original_s42,1,init,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=1.66e-08;ratio_std=8.31e-09
original_s42,1,init,3.16227746,1.4142133,0.44721362,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2h3;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=2.98e-08
original_s42,1,init,3.16227746,1.73205018,0.5477224,1.0,h3_class=1_h2k6=2_crt=5,subspace=block3_ang;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=5.96e-07;ratio_std=1.19e-07
original_s42,1,init,3.16227746,2.0,0.63245553,1.0,h3_class=1_h2k6=2_crt=5,subspace=magnitude;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,final,3.16227746,3.16227746,1.0,1.0,h3_class=1_h2k6=2_crt=5,subspace=full;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=0.00e+00
original_s42,1,final,3.16227746,2.44948983,0.77459675,1.0,h3_class=1_h2k6=2_crt=5,subspace=angular;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=5.96e-08
original_s42,1,final,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h3;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,final,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=1.66e-08;ratio_std=8.31e-09
original_s42,1,final,3.16227746,1.4142133,0.44721362,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2h3;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=2.98e-08
original_s42,1,final,3.16227746,1.73205018,0.54772246,1.0,h3_class=1_h2k6=2_crt=5,subspace=block3_ang;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=5.99e-07;ratio_std=6.16e-08
original_s42,1,final,3.16227746,2.0,0.63245553,1.0,h3_class=1_h2k6=2_crt=5,subspace=magnitude;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,init_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=0_crt_mean=3.83,subspace=h3_by_class;class=0;n=502;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,final_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=0_crt_mean=3.83,subspace=h3_by_class;class=0;n=502;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,init_byclass,3.16227722,1.0,0.31622776,1.0,h3_class=1_crt_mean=4.96,subspace=h3_by_class;class=1;n=546;full_r_std=4.77e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,final_byclass,3.16227722,1.0,0.31622776,1.0,h3_class=1_crt_mean=4.96,subspace=h3_by_class;class=1;n=546;full_r_std=4.77e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,init_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=2_crt_mean=5.91,subspace=h3_by_class;class=2;n=511;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,final_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=2_crt_mean=5.91,subspace=h3_by_class;class=2;n=511;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,init_byclass,3.1622777,1.0,0.31622776,1.0,h3_class=3_crt_mean=6.77,subspace=h3_by_class;class=3;n=489;full_r_std=0.00e+00;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,1,final_byclass,3.1622777,1.0,0.31622776,1.0,h3_class=3_crt_mean=6.77,subspace=h3_by_class;class=3;n=489;full_r_std=0.00e+00;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,init,3.16227746,3.16227746,1.0,1.0,h3_class=1_h2k6=2_crt=5,subspace=full;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=0.00e+00
original_s42,20,init,3.16227746,2.44948983,0.77459675,1.0,h3_class=1_h2k6=2_crt=5,subspace=angular;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=5.96e-08
original_s42,20,init,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h3;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,init,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=1.66e-08;ratio_std=8.31e-09
original_s42,20,init,3.16227746,1.4142133,0.44721362,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2h3;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=2.98e-08
original_s42,20,init,3.16227746,1.73205018,0.5477224,1.0,h3_class=1_h2k6=2_crt=5,subspace=block3_ang;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=5.96e-07;ratio_std=1.19e-07
original_s42,20,init,3.16227746,2.0,0.63245553,1.0,h3_class=1_h2k6=2_crt=5,subspace=magnitude;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,final,3.16227746,3.16227746,1.0,1.0,h3_class=1_h2k6=2_crt=5,subspace=full;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=0.00e+00
original_s42,20,final,3.16227746,2.44948983,0.77459675,1.0,h3_class=1_h2k6=2_crt=5,subspace=angular;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=5.96e-08
original_s42,20,final,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h3;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,final,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=1.66e-08;ratio_std=8.31e-09
original_s42,20,final,3.16227746,1.4142133,0.44721362,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2h3;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=2.98e-08
original_s42,20,final,3.16227746,1.73205042,0.54772246,1.0,h3_class=1_h2k6=2_crt=5,subspace=block3_ang;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=3.62e-07;ratio_std=6.26e-08
original_s42,20,final,3.16227746,2.0,0.63245553,1.0,h3_class=1_h2k6=2_crt=5,subspace=magnitude;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,init_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=0_crt_mean=3.83,subspace=h3_by_class;class=0;n=502;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,final_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=0_crt_mean=3.83,subspace=h3_by_class;class=0;n=502;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,init_byclass,3.16227722,1.0,0.31622776,1.0,h3_class=1_crt_mean=4.96,subspace=h3_by_class;class=1;n=546;full_r_std=4.77e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,final_byclass,3.16227722,1.0,0.31622776,1.0,h3_class=1_crt_mean=4.96,subspace=h3_by_class;class=1;n=546;full_r_std=4.77e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,init_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=2_crt_mean=5.91,subspace=h3_by_class;class=2;n=511;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,final_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=2_crt_mean=5.91,subspace=h3_by_class;class=2;n=511;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,init_byclass,3.1622777,1.0,0.31622776,1.0,h3_class=3_crt_mean=6.77,subspace=h3_by_class;class=3;n=489;full_r_std=0.00e+00;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,20,final_byclass,3.1622777,1.0,0.31622776,1.0,h3_class=3_crt_mean=6.77,subspace=h3_by_class;class=3;n=489;full_r_std=0.00e+00;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,init,3.16227746,3.16227746,1.0,1.0,h3_class=1_h2k6=2_crt=5,subspace=full;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=0.00e+00
original_s42,32,init,3.16227746,2.44948983,0.77459675,1.0,h3_class=1_h2k6=2_crt=5,subspace=angular;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=5.96e-08
original_s42,32,init,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h3;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,init,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=1.66e-08;ratio_std=8.31e-09
original_s42,32,init,3.16227746,1.4142133,0.44721362,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2h3;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=2.98e-08
original_s42,32,init,3.16227746,1.73205018,0.5477224,1.0,h3_class=1_h2k6=2_crt=5,subspace=block3_ang;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=5.96e-07;ratio_std=1.19e-07
original_s42,32,init,3.16227746,2.0,0.63245553,1.0,h3_class=1_h2k6=2_crt=5,subspace=magnitude;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,final,3.16227746,3.16227746,1.0,1.0,h3_class=1_h2k6=2_crt=5,subspace=full;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=0.00e+00
original_s42,32,final,3.16227746,2.44948983,0.77459675,1.0,h3_class=1_h2k6=2_crt=5,subspace=angular;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=5.96e-08
original_s42,32,final,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h3;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,final,3.16227746,1.0,0.31622776,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=1.66e-08;ratio_std=8.31e-09
original_s42,32,final,3.16227746,1.4142133,0.44721362,1.0,h3_class=1_h2k6=2_crt=5,subspace=h2h3;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=2.98e-08
original_s42,32,final,3.16227746,1.73205042,0.54772246,1.0,h3_class=1_h2k6=2_crt=5,subspace=block3_ang;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=3.63e-07;ratio_std=6.26e-08
original_s42,32,final,3.16227746,2.0,0.63245553,1.0,h3_class=1_h2k6=2_crt=5,subspace=magnitude;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,init_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=0_crt_mean=3.83,subspace=h3_by_class;class=0;n=502;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,final_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=0_crt_mean=3.83,subspace=h3_by_class;class=0;n=502;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,init_byclass,3.16227722,1.0,0.31622776,1.0,h3_class=1_crt_mean=4.96,subspace=h3_by_class;class=1;n=546;full_r_std=4.77e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,final_byclass,3.16227722,1.0,0.31622776,1.0,h3_class=1_crt_mean=4.96,subspace=h3_by_class;class=1;n=546;full_r_std=4.77e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,init_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=2_crt_mean=5.91,subspace=h3_by_class;class=2;n=511;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,final_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=2_crt_mean=5.91,subspace=h3_by_class;class=2;n=511;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,init_byclass,3.1622777,1.0,0.31622776,1.0,h3_class=3_crt_mean=6.77,subspace=h3_by_class;class=3;n=489;full_r_std=0.00e+00;h3_r_std=0.00e+00;ratio_std=0.00e+00
original_s42,32,final_byclass,3.1622777,1.0,0.31622776,1.0,h3_class=3_crt_mean=6.77,subspace=h3_by_class;class=3;n=489;full_r_std=0.00e+00;h3_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,init,3.16227746,3.16227746,1.0,1.0,h3_class=2_h2k6=2_crt=5,subspace=full;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=0.00e+00
shift1_s42,0,init,3.16227746,2.44948983,0.77459675,1.0,h3_class=2_h2k6=2_crt=5,subspace=angular;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=5.96e-08
shift1_s42,0,init,3.16227746,1.0,0.31622776,1.0,h3_class=2_h2k6=2_crt=5,subspace=h3;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,init,3.16227746,1.0,0.31622776,1.0,h3_class=2_h2k6=2_crt=5,subspace=h2;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=1.66e-08;ratio_std=8.31e-09
shift1_s42,0,init,3.16227746,1.4142133,0.44721362,1.0,h3_class=2_h2k6=2_crt=5,subspace=h2h3;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=2.98e-08
shift1_s42,0,init,3.16227746,1.73205018,0.5477224,1.0,h3_class=2_h2k6=2_crt=5,subspace=block3_ang;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=5.96e-07;ratio_std=1.19e-07
shift1_s42,0,init,3.16227746,2.0,0.63245553,1.0,h3_class=2_h2k6=2_crt=5,subspace=magnitude;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,final,3.16227746,3.16227746,1.0,1.0,h3_class=2_h2k6=2_crt=5,subspace=full;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=0.00e+00
shift1_s42,0,final,3.16227746,2.44948983,0.77459675,1.0,h3_class=2_h2k6=2_crt=5,subspace=angular;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=5.96e-08
shift1_s42,0,final,3.16227746,1.0,0.31622776,1.0,h3_class=2_h2k6=2_crt=5,subspace=h3;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,final,3.16227746,1.0,0.31622776,1.0,h3_class=2_h2k6=2_crt=5,subspace=h2;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=1.66e-08;ratio_std=8.31e-09
shift1_s42,0,final,3.16227746,1.4142133,0.44721362,1.0,h3_class=2_h2k6=2_crt=5,subspace=h2h3;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=2.98e-08
shift1_s42,0,final,3.16227746,1.73205018,0.5477224,1.0,h3_class=2_h2k6=2_crt=5,subspace=block3_ang;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=5.96e-07;ratio_std=1.19e-07
shift1_s42,0,final,3.16227746,2.0,0.63245553,1.0,h3_class=2_h2k6=2_crt=5,subspace=magnitude;phase=final;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,init_byclass,3.1622777,1.0,0.31622776,1.0,h3_class=0_crt_mean=6.77,subspace=h3_by_class;class=0;n=489;full_r_std=0.00e+00;h3_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,final_byclass,3.1622777,1.0,0.31622776,1.0,h3_class=0_crt_mean=6.77,subspace=h3_by_class;class=0;n=489;full_r_std=0.00e+00;h3_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,init_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=1_crt_mean=3.83,subspace=h3_by_class;class=1;n=502;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,final_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=1_crt_mean=3.83,subspace=h3_by_class;class=1;n=502;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,init_byclass,3.16227722,1.0,0.31622776,1.0,h3_class=2_crt_mean=4.96,subspace=h3_by_class;class=2;n=546;full_r_std=4.77e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,final_byclass,3.16227722,1.0,0.31622776,1.0,h3_class=2_crt_mean=4.96,subspace=h3_by_class;class=2;n=546;full_r_std=4.77e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,init_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=3_crt_mean=5.91,subspace=h3_by_class;class=3;n=511;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,0,final_byclass,3.16227746,1.0,0.31622776,1.0,h3_class=3_crt_mean=5.91,subspace=h3_by_class;class=3;n=511;full_r_std=2.39e-07;h3_r_std=0.00e+00;ratio_std=0.00e+00
shift1_s42,1,init,3.16227746,3.16227746,1.0,1.0,h3_class=2_h2k6=2_crt=5,subspace=full;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=2.38e-07;ratio_std=0.00e+00
shift1_s42,1,init,3.16227746,2.44948983,0.77459675,1.0,h3_class=2_h2k6=2_crt=5,subspace=angular;phase=init;h3_preserved=1.0000;h3_dir_sim_mean=1.00000000;full_r_std=2.38e-07;sub_r_std=0.00e+00;ratio_std=5.96e-08
