case,sub_case,class_dist,timestep,D,eps_high,cos_metric,sin_metric,sin_abs,tan_metric,tan_unstable,n_samples,notes
SEP,matched_vs_avg_mismatch,-1,8,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=8
SEP,matched_vs_avg_mismatch,-1,9,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=9
SEP,matched_vs_avg_mismatch,-1,10,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=10
SEP,matched_vs_avg_mismatch,-1,11,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=11
SEP,matched_vs_avg_mismatch,-1,12,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=12
SEP,matched_vs_avg_mismatch,-1,13,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=13
SEP,matched_vs_avg_mismatch,-1,14,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=14
SEP,matched_vs_avg_mismatch,-1,15,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=15
SEP,matched_vs_avg_mismatch,-1,16,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=16
SEP,matched_vs_avg_mismatch,-1,17,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=17
SEP,matched_vs_avg_mismatch,-1,18,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=18
SEP,matched_vs_avg_mismatch,-1,19,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=19
SEP,matched_vs_avg_mismatch,-1,20,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=20
SEP,matched_vs_avg_mismatch,-1,0,1,0.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=0.0;D=1;t=0
SEP,matched_vs_avg_mismatch,-1,1,1,0.0,1.0260416666666667,0.3072916666666667,-0.3593750099341074,-3.414299894662539e-08,nan,1024,separation;eps=0.0;D=1;t=1
SEP,matched_vs_avg_mismatch,-1,0,5,0.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=0.0;D=5;t=0
SEP,matched_vs_avg_mismatch,-1,1,5,0.0,1.0260416666666667,0.3072916666666667,-0.3593750099341074,-3.414299894662539e-08,nan,1024,separation;eps=0.0;D=5;t=1
SEP,matched_vs_avg_mismatch,-1,2,5,0.0,1.0260416666666667,0.3072916666666667,-0.3593750099341074,-3.414299894662539e-08,nan,1024,separation;eps=0.0;D=5;t=2
SEP,matched_vs_avg_mismatch,-1,3,5,0.0,1.0260416666666667,0.3072916666666667,-0.3593750099341074,-3.414299894662539e-08,nan,1024,separation;eps=0.0;D=5;t=3
SEP,matched_vs_avg_mismatch,-1,4,5,0.0,1.0260416666666667,0.3072916666666667,-0.3593750099341074,-3.414299894662539e-08,nan,1024,separation;eps=0.0;D=5;t=4
